"kategorie","poi_id","name","laengengrad","breitengrad","adresse","plz","ort","access","fee","wheelchair","opening_hours","operator","beschreibung","solar_anzahl_werte","solar_durchschnitt_april_bis_september_w_m2","solar_median_april_bis_september_w_m2","solar_minimum_w_m2","solar_minimum_zeitpunkt","solar_maximum_w_m2","solar_maximum_zeitpunkt","link_komplexe_karte_popup","solar_0401_08_w_m2","solar_0401_09_w_m2","solar_0401_10_w_m2","solar_0401_11_w_m2","solar_0401_12_w_m2","solar_0401_13_w_m2","solar_0401_14_w_m2","solar_0401_15_w_m2","solar_0401_16_w_m2","solar_0401_17_w_m2","solar_0401_18_w_m2","solar_0401_19_w_m2","solar_0401_20_w_m2","solar_0415_08_w_m2","solar_0415_09_w_m2","solar_0415_10_w_m2","solar_0415_11_w_m2","solar_0415_12_w_m2","solar_0415_13_w_m2","solar_0415_14_w_m2","solar_0415_15_w_m2","solar_0415_16_w_m2","solar_0415_17_w_m2","solar_0415_18_w_m2","solar_0415_19_w_m2","solar_0415_20_w_m2","solar_0501_08_w_m2","solar_0501_09_w_m2","solar_0501_10_w_m2","solar_0501_11_w_m2","solar_0501_12_w_m2","solar_0501_13_w_m2","solar_0501_14_w_m2","solar_0501_15_w_m2","solar_0501_16_w_m2","solar_0501_17_w_m2","solar_0501_18_w_m2","solar_0501_19_w_m2","solar_0501_20_w_m2","solar_0515_08_w_m2","solar_0515_09_w_m2","solar_0515_10_w_m2","solar_0515_11_w_m2","solar_0515_12_w_m2","solar_0515_13_w_m2","solar_0515_14_w_m2","solar_0515_15_w_m2","solar_0515_16_w_m2","solar_0515_17_w_m2","solar_0515_18_w_m2","solar_0515_19_w_m2","solar_0515_20_w_m2","solar_0601_08_w_m2","solar_0601_09_w_m2","solar_0601_10_w_m2","solar_0601_11_w_m2","solar_0601_12_w_m2","solar_0601_13_w_m2","solar_0601_14_w_m2","solar_0601_15_w_m2","solar_0601_16_w_m2","solar_0601_17_w_m2","solar_0601_18_w_m2","solar_0601_19_w_m2","solar_0601_20_w_m2","solar_0615_08_w_m2","solar_0615_09_w_m2","solar_0615_10_w_m2","solar_0615_11_w_m2","solar_0615_12_w_m2","solar_0615_13_w_m2","solar_0615_14_w_m2","solar_0615_15_w_m2","solar_0615_16_w_m2","solar_0615_17_w_m2","solar_0615_18_w_m2","solar_0615_19_w_m2","solar_0615_20_w_m2","solar_0701_08_w_m2","solar_0701_09_w_m2","solar_0701_10_w_m2","solar_0701_11_w_m2","solar_0701_12_w_m2","solar_0701_13_w_m2","solar_0701_14_w_m2","solar_0701_15_w_m2","solar_0701_16_w_m2","solar_0701_17_w_m2","solar_0701_18_w_m2","solar_0701_19_w_m2","solar_0701_20_w_m2","solar_0715_08_w_m2","solar_0715_09_w_m2","solar_0715_10_w_m2","solar_0715_11_w_m2","solar_0715_12_w_m2","solar_0715_13_w_m2","solar_0715_14_w_m2","solar_0715_15_w_m2","solar_0715_16_w_m2","solar_0715_17_w_m2","solar_0715_18_w_m2","solar_0715_19_w_m2","solar_0715_20_w_m2","solar_0801_08_w_m2","solar_0801_09_w_m2","solar_0801_10_w_m2","solar_0801_11_w_m2","solar_0801_12_w_m2","solar_0801_13_w_m2","solar_0801_14_w_m2","solar_0801_15_w_m2","solar_0801_16_w_m2","solar_0801_17_w_m2","solar_0801_18_w_m2","solar_0801_19_w_m2","solar_0801_20_w_m2","solar_0815_08_w_m2","solar_0815_09_w_m2","solar_0815_10_w_m2","solar_0815_11_w_m2","solar_0815_12_w_m2","solar_0815_13_w_m2","solar_0815_14_w_m2","solar_0815_15_w_m2","solar_0815_16_w_m2","solar_0815_17_w_m2","solar_0815_18_w_m2","solar_0815_19_w_m2","solar_0815_20_w_m2","solar_0901_08_w_m2","solar_0901_09_w_m2","solar_0901_10_w_m2","solar_0901_11_w_m2","solar_0901_12_w_m2","solar_0901_13_w_m2","solar_0901_14_w_m2","solar_0901_15_w_m2","solar_0901_16_w_m2","solar_0901_17_w_m2","solar_0901_18_w_m2","solar_0901_19_w_m2","solar_0901_20_w_m2","solar_0915_08_w_m2","solar_0915_09_w_m2","solar_0915_10_w_m2","solar_0915_11_w_m2","solar_0915_12_w_m2","solar_0915_13_w_m2","solar_0915_14_w_m2","solar_0915_15_w_m2","solar_0915_16_w_m2","solar_0915_17_w_m2","solar_0915_18_w_m2","solar_0915_19_w_m2","solar_0915_20_w_m2"
"Park","park-0","Menzerpark","8.801581","49.392994","","","","","no","","","","","156","307.294","342.43","0","01.04. 19:00","613.698","15.06. 12:00","https://kfg-gis-2026.github.io/web-map/?lng=8.801581&lat=49.392994&z=16.50&ansicht=komplex&lang=de&poi=park-0&skipIntro=1","214.44","304.563","372.889","406.518","429.099","390.085","338.181","260.339","165.974","84.92","22.785","0","0","264.363","352.321","426.63","469.03","479.885","452.699","393.653","309.438","211.437","119.832","50.249","0","0","304.702","392.641","476.871","514.993","532.711","506.836","449.368","346.678","251.304","152.11","75.752","16.659","0","335.382","423.33","501.915","551.355","571.235","546.033","475.123","380.001","278.416","171.471","95.817","27.93","0","358.606","449.965","528.141","580.31","600.057","574.094","503.274","408.759","300.054","187.756","110.83","51.825","0","366.609","459.399","540.577","585.584","613.698","581.158","517.435","417.594","309.148","206.481","117.763","57.879","8.669","363.456","457.598","533.757","583.658","611.684","579.215","511.529","415.76","306.267","205.378","116.245","57.003","0","351.612","440.094","520.832","571.216","593.006","564.839","497.623","399.545","293.972","185.223","107.789","49.271","0","325.138","410.706","493.816","540.898","558.348","533.694","470.728","364.596","269.902","167.047","89.175","25.34","0","293.537","380.972","468.852","501.446","519.048","491.42","442.433","334.836","242.762","143.651","69.929","13.458","0","243.073","331.922","409.275","445.501","457.89","427.694","374.938","289.653","195.905","107.448","33.481","0","0","200.738","289.025","355.383","391.355","398.404","371.938","321.043","242.891","153.709","76.55","18.183","0","0"
"Park","park-1","","8.776811","49.392744","","","","","","","","","","156","318.852","367.545","0","01.04. 19:00","632.645","15.06. 12:00","https://kfg-gis-2026.github.io/web-map/?lng=8.776811&lat=49.392744&z=16.50&ansicht=komplex&lang=de&poi=park-1&skipIntro=1","208.532","314.166","397.103","434.126","470.756","432.144","390.664","260.227","88.563","55.754","22.107","0","0","277.536","368.095","444.104","505.635","519.675","499.357","444.141","346.468","182.743","66.67","36.414","0","0","317.272","397.5","499.404","546.529","560.278","543.678","496.522","397.509","271.478","76.058","49.307","16.163","0","342.559","428.273","513.61","574.258","599.798","571.123","517.725","429.775","333.329","121.834","57.463","27.098","0","365.345","466.985","533.419","599.576","616.313","594.139","537.169","455.677","353.184","226.322","63.622","35.607","0","372.744","472.48","555.72","602.947","632.645","602.192","550.025","464.525","363.645","257.02","65.821","38.752","8.41","371.163","470.642","541.95","601.004","630.683","600.359","543.97","462.92","361.521","256.893","65.332","38.184","0","360.761","446.174","531.216","589.004","611.117","586.708","533.416","441.83","346.555","217.425","62.302","34.086","0","333.808","413.581","511.565","565.575","584.938","562.728","513.496","412.126","315.367","96.049","55.243","24.586","0","307.449","385.616","488.709","528.178","549.611","519.372","490.605","387.179","248.332","73.559","46.498","13.057","0","246.621","342.421","429.18","472.591","491.861","463.038","426.712","315.417","151.412","62.983","32.232","0","0","194.42","296.954","376.643","419.71","437","414.165","366.994","230.93","80.031","51.697","17.642","0","0"
"Park","park-2","","8.852400","49.385022","","","","","","","","","","156","402.601","430.459","0","01.04. 19:00","796.485","15.06. 12:00","https://kfg-gis-2026.github.io/web-map/?lng=8.852400&lat=49.385022&z=16.50&ansicht=komplex&lang=de&poi=park-2&skipIntro=1","227.441","377.628","495.227","579.039","614.587","591.397","505.769","389.704","230.82","75.593","25.299","0","0","288.52","438.42","558.422","643.909","682.502","649.876","569.497","442.894","280.611","107.657","41.671","0","0","346.902","486.681","617.493","700.435","732.741","701.585","626.279","488.956","332.782","155.383","59.168","18.485","0","388.525","527.188","650.795","734.837","766.93","738.843","658.519","521.265","370.193","204.654","75.134","31","0","412.848","556.291","679.191","758.926","791.057","763.924","686.953","554.763","403.068","241.244","91.266","40.738","0","422.497","571.517","690.215","766.515","796.485","770.905","695.033","563.53","417.443","254.634","98.272","44.337","9.604","420.27","567.349","686.626","763.856","793.771","768.235","692.474","560.607","414.922","251.812","97.039","43.687","0","406.191","548.962","669.828","751.699","783.144","755.688","679.07","547.051","395.427","233.353","87.623","38.997","0","375.813","510.407","637.184","721.559","750.877","724.862","647.543","509.48","359.452","191.15","69.724","28.125","0","332.232","468.101","602.786","683.018","714.753","688.852","610.333","473.387","320.52","146.286","55.605","14.931","0","269.035","420.17","533.906","618.652","656.157","624.061","543.537","422.403","263.512","95.683","36.885","0","0","207.568","356.269","468.484","551.932","590.027","566.228","483.534","369.297","214.69","66.396","20.189","0","0"
"Park","park-3","Interkultureller Garten","8.800298","49.377726","","","","","","","","","","156","338.078","388.171","0","01.04. 19:00","689.28","15.06. 12:00","https://kfg-gis-2026.github.io/web-map/?lng=8.800298&lat=49.377726&z=16.50&ansicht=komplex&lang=de&poi=park-3&skipIntro=1","267.283","399.529","487.719","537.838","542.478","498.962","406.306","248.95","94.198","56.785","22.51","0","0","321.364","447.579","540.38","586.167","594.198","548.136","455.147","291.557","130.271","67.898","37.077","0","0","364.531","490.401","582.775","634.345","639.121","591.028","491.739","328.688","176.078","77.825","50.204","16.438","0","398.552","518.706","604.543","657.805","663.404","617.079","516.178","355.693","207.235","93.708","58.509","27.574","0","423.793","538.552","625.496","674.388","680.831","632.974","530.685","389.422","230.259","110.979","64.781","36.239","0","428.351","544.634","632.485","678.988","689.28","642.258","538.451","404.769","236.684","114.837","67.02","39.441","8.528","426.669","542.717","630.491","676.158","687.113","640.25","536.651","403.884","233.607","113.134","66.521","38.863","0","416.763","529.491","620.02","668.656","673.374","627.473","523.989","380.344","225.86","107.605","63.437","34.69","0","386.919","505","602.93","646.165","654.028","605.587","513","347","200.662","86.987","56.248","25.016","0","351.755","474.642","572.107","617.82","621.634","572.456","482.447","315.019","166.884","74.912","47.345","13.276","0","300.896","431.211","520.912","568.801","573.652","523.67","435.925","274.05","120.687","64.144","32.819","0","0","250.23","377.032","467.09","516.082","519.579","477.881","386.134","231.434","81.089","52.654","17.964","0","0"
"Park","park-4","","8.805776","49.386256","","","","yes","","","","","","156","232.753","268.629","0","01.04. 19:00","390.507","15.06. 12:00","https://kfg-gis-2026.github.io/web-map/?lng=8.805776&lat=49.386256&z=16.50&ansicht=komplex&lang=de&poi=park-4&skipIntro=1","166.759","222.115","266.96","239.743","291.959","260.247","266.061","250.724","181.586","109.176","19.125","0","0","207.748","279.898","285.019","288.647","319.85","305.477","306.445","278.685","215.569","142.238","66.841","0","0","243.431","313.182","328.104","325.889","339.206","317.569","343.978","298.747","247.486","173.077","102.551","13.975","0","272.552","336.859","347.224","351.05","355.561","336.172","333.466","326.41","270.045","189.2","127.218","23.436","0","298.694","360.305","364.042","375.783","388.984","360.844","353.654","339.632","278.682","201.309","142.116","61.564","0","316.295","362.806","380.309","371.8","390.507","365.569","364.382","342.564","283.069","240.615","147.597","70.965","7.263","314.976","361.563","379.149","370.828","389.489","364.59","363.193","341.313","281.828","239.293","146.416","69.808","0","294.969","350.054","363.47","360.126","386.386","342.765","344.816","331.703","275.285","198.262","138.874","55.792","0","263.259","331.234","337.636","346.803","351.298","331.756","347.28","320.935","258.076","184.058","116.665","21.263","0","231.627","303.384","322.079","321.916","333.848","311.363","337.626","291.998","234.805","162.522","93.023","11.288","0","185.635","245.145","277.173","259.676","300.808","285.775","295.902","267.214","200.048","127.97","41.522","0","0","153.835","197.624","258.974","232.847","259.247","253.555","257.641","232.735","172.929","100.62","15.262","0","0"
